"Imported Companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Designmodo","Designmodo is an all-in-one solution to create website and email newsletter designs that impress and engage your subscribers and customers.","Design","2-10 employees","Partnership","New York, NY","United States","designmodo.com","https://www.linkedin.com/company/designmodo"
,"Integrated Group Amper","Telecommunication solutions and services
Call Center solutions
Network solutions
Consultancy
Outsourcing","Telecommunications","11-50 employees","Privately Held","Cairo","Egypt","igamper.com","https://www.linkedin.com/company/integrated-group-amper"
,"Firmus BPO Co Information Services","Outbound Telemarketing 
Appointment Setting 
Customer Service","Information Services","11-50 employees","Self Owned","Mandaue, Central Visayas","Philippines",,"https://www.linkedin.com/company/firmusbpo"
,"Bin Sadiq Group","Real estate marketing company","Real Estate","11-50 employees","Privately Held","Islamabad, Islamabad","Pakistan","binsadiqdevelopers.com","https://www.linkedin.com/company/binsadiqgrouppk"
,"Koktem Coffee & Flowers","Flower delivery service","Retail","2-10 employees","Privately Held","Almaty, Almatinskaya","Kazakhstan","koktem.xyz","https://www.linkedin.com/company/dildiny"
,"Tangent Studios (RSA)","Online Content Creation and Digital Marketing","Marketing Services","Self-employed","Privately Held","Durban, Kwazulu-Natal","South Africa","tangentstudios.co.za","https://www.linkedin.com/company/tangent-studios-rsa"
,"Pak Sea Pearl International","Seafood Processor and Exporter From Pakistan. 

Email: Pakseapearlinternational@gmail.com
Wechat: Seafood-Pakistan","Seafood Product Manufacturing","201-500 employees","Privately Held","Karachi, Sindh","Pakistan",,"https://www.linkedin.com/company/pak-sea-pearl-international"
,"Ecomail SAS","Ecomail's purpose is to offer an email service to raise funds to invest in a total transparency in various projects for the environment. 50% of Ecomail's revenues are used to fund concrete actions in Environment, to make donations to associations and to develop Ecology in France.","Technology, Information and Internet","Self-employed","Privately Held","Sioniac, Nouvelle-Aquitaine","France","ecomail.fr","https://www.linkedin.com/company/ecomail-ecomtel"
,"Pack Hunters","PH source companies as requested by the clients and perform email or social media marketing campaigns.

Before making any lists PH do an extensive research and create the first draft of heat map that would help the process.

When PH make their list, they get all what is there on the internet. The company email, the phone number, the HQ address, managers` name, managers` emails, managers` linkedin link, Company`s FB-Linkedin-Twitter account link etc.

PH validates all the lists before they are prepared to be sent. Zero email bounces.

If you have a product and you want to present it to a company then PH will do everything to arrange the first call with them

You have assigned a dedicated team that works only for you","Advertising Services","11-50 employees","Partnership","Skopje, Skopski","Macedonia",,"https://www.linkedin.com/company/pack-hunters-team"
,"Cosmic Revenue","We create highly personalized cold email campaigns that violently grab your ideal prospects by the throat and burst your sales team's calendar at the seams.","Marketing Services","2-10 employees","Self Employed","London","United Kingdom","cosmicrevenue.com","https://www.linkedin.com/company/cosmicrevenue"
,"Top Deliverability","Every email that ends in spam is money that you are losing. Top Deliverability helps you achieve the best inbox placement. Email Deliverability is money.","Professional Training and Coaching","2-10 employees","Privately Held","Dublin","Ireland","topdeliverability.com","https://www.linkedin.com/company/top-deliverability"
,"Austra","Hordes of HIPAA email service providers exist today. While one provider may offer certain benefits over the other, there is no clear winner. In order to achieve market leadership a provider will need to improve its competitiveness through innovation.

You have already worked on email encryption and security. We can help you to make the email presentable and professional. E.g. john@doctor.email

Doctors' professional email branding can give you a marketing edge over all your competitors.

We are evaluating partnership possibilities. You can visit our site for more details.","IT Services and IT Consulting","2-10 employees","Self Owned","Mumbai","India","austra.fyi","https://www.linkedin.com/company/austrah"
,"Atwave","Atwave is a demand generation email advertising platform. Deploying dedicated email sends through our vetted network of partners ensures youll reach the right audiences, in the right format, at the right time, to drive maximum results.","Advertising Services","11-50 employees","Privately Held","Miami Beach, Florida","United States","atwave.com","https://www.linkedin.com/company/atwave"
,"Prime Ethiopia","E commerce and peer to peer online Marketing","Market Research","11-50 employees","Public Company","Addis Ababa, Addis Ababa","Ethiopia","primeethiopia.com","https://www.linkedin.com/company/primeethiopia"
,"Superhuman","Superhuman is the fastest email experience ever made. Designed for high performing teams, Superhuman seamlessly integrates with Gmail and Outlook. Powerful features like AI writing, summarization, and Split Inbox help our customers fly through their inboxes, spend less time on busywork, and get 4+ hours back each week to focus on what really matters.","Software Development","51-200 employees","Privately Held","San Francisco, California","United States","superhuman.com","https://www.linkedin.com/company/superhuman-co"
,"Brightbox","Send happy mail to an employee, friend or loved one for any occasion (birthday, sympathy, congratulations, thinking of you, encouragement, etc.) or just because! Happy mail starts at $10 with optional add-ons! A personal note is included with each Brightbox package.","Manufacturing","11-50 employees","Privately Held","Salt Lake City, Utah","United States","brightboxes.com","https://www.linkedin.com/company/brightboxes"
,"Letterloop","Letterloop lets you create private group newsletters with friends and family. Stay in touch, grow closer together, and discover things you never knew with the most important people in your life  all over email.","Technology, Information and Internet","2-10 employees","Privately Held","San Francisco, CA","United States","letterloop.co","https://www.linkedin.com/company/letterloop"
,"COGEP","COGEP is an accounting company","Accounting","1,001-5,000 employees","Privately Held","Bailleul, Hauts-de-France","France","cogep.fr","https://www.linkedin.com/company/guy-boddaert-comptabilite-conseil"
,"VOX SCIENCES LIMITED","VoxSciences converts your voicemails into text and delivers them to your mobile as a text (SMS) message and/or as an email.","Technology, Information and Internet","11-50 employees","Privately Held","Marlow","United Kingdom","voxsci.com","https://www.linkedin.com/company/vox-sciences-limited"
,"Informz","Informz is marketing sophistication, made simple. Our powerful email marketing platform, marketing automation tools and expert services, are built to help nonprofits and associations tell compelling stories, create real connections and drive real results. Over 1,400 organizations have chosen Informz and consistently rank us #1 in client satisfaction.","IT Services and IT Consulting","51-200 employees","Privately Held","Saratoga Springs, NY","United States","informz.com","https://www.linkedin.com/company/informz"
